split,rows,users,anchor_accuracy,anchor_errors,boundary_band_rows
val_random_uniform_seed1001,19996,4736,0.7591518303660733,4816,17242
val_random_uniform_seed101,19996,4736,0.7600520104020804,4798,17242
val_random_uniform_seed1102,19996,4736,0.7584516903380676,4830,17242
val_random_uniform_seed1203,19996,4736,0.7616523304660933,4766,17242
val_random_uniform_seed1304,19996,4736,0.762752550510102,4744,17242
val_random_uniform_seed1405,19996,4736,0.7695539107821564,4608,17242
val_random_uniform_seed1506,19996,4736,0.760252050410082,4794,17242
val_random_uniform_seed1607,19996,4736,0.7638527705541108,4722,17242
val_random_uniform_seed1708,19996,4736,0.7573514702940588,4852,17242
val_random_uniform_seed1809,19996,4736,0.7541508301660332,4916,17242
val_random_uniform_seed1910,19996,4736,0.7556511302260452,4886,17242
val_random_uniform_seed2011,19996,4736,0.7651530306061213,4696,17242
val_random_uniform_seed202,19996,4736,0.757751550310062,4844,17242
val_random_uniform_seed303,19996,4736,0.7620524104820964,4758,17242
val_random_uniform_seed404,19996,4736,0.7598519703940788,4802,17242
val_random_uniform_seed505,19996,4736,0.7665533106621324,4668,17242
val_random_uniform_seed606,19996,4736,0.7584516903380676,4830,17242
val_random_uniform_seed707,19996,4736,0.7609521904380876,4780,17242
val_random_uniform_seed808,19996,4736,0.759751950390078,4804,17242
val_random_uniform_seed909,19996,4736,0.7606521304260853,4786,17242
