dimension,bucket,total_changed_rows_across_controls,candidate_count,families,mismatch_changed_rows,mismatch_row_frac,public_negative_changed_rows,public_negative_row_frac,weighted_mean_public_delta,weighted_mean_validation_delta,weighted_mean_overlap_frac_with_other_failed,guard_note
candidate_count_bucket,03-04,1280,11,"als_residual_rankblend,boundary_scoreblend,capacity_blend,frontier_z_boundary,otto_covisitation,tagcf_boundary",1152,0.9,1280,1.0,-0.0008621874999999862,0.0008255017361111111,0.9012532062441234,false_positive_bucket
item_degree_decile,4,869,11,"als_residual_rankblend,boundary_scoreblend,capacity_blend,frontier_z_boundary,otto_covisitation,tagcf_boundary",780,0.8975834292289988,869,1.0,-0.0008723820483314006,0.0008284269230769231,0.9044480184411913,false_positive_bucket
user_degree_decile,0,546,11,"als_residual_rankblend,boundary_scoreblend,capacity_blend,frontier_z_boundary,otto_covisitation,tagcf_boundary",487,0.891941391941392,546,1.0,-0.0008780219780219622,0.0008523141683778234,0.9076931737262907,false_positive_bucket
user_degree_decile,5,396,11,"als_residual_rankblend,boundary_scoreblend,capacity_blend,frontier_z_boundary,otto_covisitation,tagcf_boundary",352,0.8888888888888888,396,1.0,-0.0008234848484848324,0.0008574573863636362,0.9088782255440097,false_positive_bucket
item_degree_decile,6,587,11,"als_residual_rankblend,boundary_scoreblend,capacity_blend,frontier_z_boundary,otto_covisitation,tagcf_boundary",521,0.8875638841567292,587,1.0,-0.0008441226575809041,0.000827222648752399,0.9084802292887414,false_positive_bucket
user_degree_decile,2,444,11,"als_residual_rankblend,boundary_scoreblend,capacity_blend,frontier_z_boundary,otto_covisitation,tagcf_boundary",394,0.8873873873873874,444,1.0,-0.0008846846846846702,0.0008248959390862944,0.9028747866775927,false_positive_bucket
item_degree_decile,1,442,11,"als_residual_rankblend,boundary_scoreblend,capacity_blend,frontier_z_boundary,otto_covisitation,tagcf_boundary",392,0.8868778280542986,442,1.0,-0.0008671945701357322,0.0008099438775510204,0.9021805853234754,false_positive_bucket
user_degree_decile,6,548,11,"als_residual_rankblend,boundary_scoreblend,capacity_blend,frontier_z_boundary,otto_covisitation,tagcf_boundary",486,0.8868613138686131,548,1.0,-0.0009034671532846562,0.000807028806584362,0.9036745762435044,false_positive_bucket
item_degree_decile,5,766,11,"als_residual_rankblend,boundary_scoreblend,capacity_blend,frontier_z_boundary,otto_covisitation,tagcf_boundary",679,0.8864229765013055,766,1.0,-0.000896866840731055,0.0008190441826215022,0.9038952416814117,false_positive_bucket
item_degree_decile,9,78,11,"als_residual_rankblend,boundary_scoreblend,capacity_blend,frontier_z_boundary,otto_covisitation,tagcf_boundary",69,0.8846153846153846,78,1.0,-0.0008858974358974181,0.0008513333333333334,0.9119061311834954,false_positive_bucket
